Date,CalibSigA,CalibN,Beta_BM,Beta_EM,DeltaSprad,PD,LGD
6/22/06,0.142557984,7388114540,0.079809113,1.29920526,444.7738249,0.132164729,0.156617249
6/23/06,0.142138399,7398954370,0.079862104,1.301795331,462.3415786,0.132560411,0.156269156
6/26/06,0.140232576,7405182804,0.079370403,1.301795331,460.1586885,0.134363413,0.15468032
6/27/06,0.139805081,7390116609,0.079257925,1.301795331,460.2319282,0.134769134,0.154322184
6/28/06,0.175074645,7660231610,0.121398032,1.301795331,392.4345171,0.190355744,0.208103438
6/29/06,0.177266165,7651070011,0.121416805,1.294243714,381.8279388,0.187965316,0.209938901
6/30/06,0.177748337,7624833523,0.121383321,1.292222499,381.697978,0.187440659,0.210340501
7/3/06,0.179378975,7452681865,0.121904139,1.292222499,381.2678102,0.185669795,0.2116927
7/5/06,0.179628597,7407567594,0.121982885,1.292222499,381.2032313,0.185399179,0.211898887
7/6/06,0.181333716,7394364621,0.123318183,1.300706676,380.7711375,0.183554027,0.213301568
7/7/06,0.179159923,7496288591,0.122626574,1.300620102,381.3247584,0.185907373,0.211511586
7/10/06,0.151679035,7395886099,0.08701178,1.300620102,440.6711302,0.136739444,0.167606285
7/11/06,0.151679035,7384800586,0.08701178,1.300620102,440.6711302,0.136739444,0.167606285
7/12/06,0.134301512,7276771303,0.06423088,1.300620102,470.1444334,0.102599277,0.140219266
7/13/06,0.137231184,7283228956,0.067596152,1.302400603,466.3703529,0.107054031,0.144424757
7/14/06,0.136478348,7279305392,0.06657953,1.285587697,466.4480674,0.107700815,0.143822684
7/17/06,0.134766804,7278633701,0.066242978,1.285587697,466.632624,0.109177291,0.142446551
7/18/06,0.13283581,7299694342,0.065848029,1.285587697,466.8540038,0.110853093,0.140881722
7/19/06,0.133611957,7274519820,0.066008718,1.285587697,466.7633428,0.110178246,0.141512255
7/20/06,0.13283581,7263286964,0.065970791,1.287984443,466.8540038,0.110853093,0.140881722
7/21/06,0.130476769,7269501761,0.065374281,1.28619123,432.143445,0.112914689,0.13895236
7/24/06,0.13244584,7270385191,0.065797182,1.28619123,431.9004088,0.11119281,0.140564122
7/25/06,0.116049385,7191593784,0.043579805,1.28619123,455.6933286,0.073340216,0.11412819
7/26/06,0.129365878,7238836956,0.059419492,1.28619123,439.5978522,0.098396036,0.134066944
7/27/06,0.136563723,7293650120,0.069662989,1.288637642,427.5107104,0.115330833,0.145924053
7/28/06,0.148699432,7344702337,0.085006018,1.285399176,406.5603906,0.138930881,0.164978677
7/31/06,0.147636155,7340359140,0.084732167,1.285399176,406.7434151,0.139957107,0.164097726
8/1/06,0.151003337,7175105187,0.085582639,1.285399176,406.1808656,0.136717096,0.166874013
8/2/06,0.140461749,7090757045,0.070453173,1.285399176,426.8314867,0.112317496,0.149184497
8/3/06,0.133217762,7053619717,0.061637438,1.285716767,437.333869,0.099236643,0.138206961
8/4/06,0.133679545,6965413834,0.061719164,1.28574969,437.2934388,0.098854732,0.138572526
8/7/06,0.131002865,7087277528,0.061241782,1.28574969,437.538287,0.101077178,0.136443246
8/8/06,0.132131701,7087654424,0.061446885,1.28574969,437.4319313,0.100137335,0.137344269
8/9/06,0.130813667,7083670071,0.061206867,1.28574969,437.5565552,0.101235066,0.136291796
8/10/06,0.130946366,7206530391,0.060506682,1.270532491,437.543729,0.101124316,0.136398033
8/11/06,0.131317793,7221086294,0.060504606,1.269075703,437.5081606,0.100814599,0.136695065
8/14/06,0.131872741,7232114917,0.060604062,1.269075703,437.4559302,0.100352608,0.137137963
8/15/06,0.13775155,7228806474,0.065923539,1.269075703,431.3710707,0.106504179,0.14481165
8/16/06,0.148262443,7268252645,0.078928315,1.269075703,414.4871339,0.125860772,0.161026014
8/17/06,0.14964687,7268911896,0.078995416,1.265367458,414.3057364,0.124583557,0.162140617
8/18/06,0.138234245,7205938011,0.06739723,1.258868665,428.7081365,0.111155178,0.146561582
8/21/06,0.128691295,7155790046,0.057218659,1.258868665,440.6753051,0.096763879,0.132950288
8/22/06,0.154243213,7303520184,0.088026524,1.258868665,399.8060586,0.143160474,0.17209784
8/23/06,0.153439725,7261392077,0.08094717,1.258868665,411.3758432,0.125214332,0.16631864
8/24/06,0.170159059,7414025332,0.10836319,1.276639393,385.0219133,0.168618235,0.196547057
8/25/06,0.16328341,7385090655,0.104513299,1.27978131,390.8425734,0.169788481,0.189185381
8/28/06,0.170591593,7429914911,0.111233646,1.27978131,379.7401433,0.175293971,0.19887749
8/29/06,0.142328377,7227192061,0.076606272,1.27978131,434.0677814,0.12691292,0.155013386
8/30/06,0.121861548,7104604397,0.050253046,1.27978131,465.2827955,0.084535908,0.122849963
8/31/06,0.155528681,7285408103,0.09370734,1.311570567,413.0220408,0.146394979,0.174361955
9/1/06,0.171591185,7217704430,0.111996721,1.313791711,384.5917965,0.167285074,0.197768937
9/5/06,0.150747467,7013176925,0.084602343,1.313791711,426.8758874,0.129563876,0.1646692
9/6/06,0.164499603,7112695721,0.102322997,1.313791711,400.6948482,0.153757245,0.186167103
9/7/06,0.194902014,7501805977,0.141929682,1.313087666,327.1032684,0.205555208,0.235182627
9/8/06,0.162524833,7216937778,0.100812327,1.311587701,402.5293805,0.153582055,0.183954898
9/11/06,0.164992513,7349851932,0.101841778,1.311587701,401.4086208,0.152083526,0.186240272
9/12/06,0.123342192,7097289691,0.047655219,1.311587701,469.3430013,0.073663437,0.121278598
9/13/06,0.124763841,7101901824,0.050055155,1.311587701,485.7937348,0.07784182,0.123858026
9/14/06,0.134277972,7146838917,0.05653352,1.223700591,475.1786574,0.09235545,0.137378027
9/15/06,0.116649039,7079872696,0.037485061,1.235858448,495.0071029,0.061764258,0.111392745
9/18/06,0.130391115,7133919844,0.052064074,1.235858448,480.7972543,0.084094783,0.131166442
9/19/06,0.147194983,7186730868,0.070422438,1.235858448,459.046175,0.110266537,0.155584804
9/20/06,0.168372364,7314591709,0.095085662,1.235858448,412.7765217,0.144121411,0.187645195
9/21/06,0.163392114,7282446584,0.087985398,1.15779379,413.5852064,0.149047084,0.18364732
9/22/06,0.122467582,7037951104,0.043135173,1.15932501,476.8847734,0.077251298,0.121450543
9/25/06,0.123219847,7029106350,0.044473472,1.15932501,475.3997997,0.080094611,0.122979661
9/26/06,0.136547722,7094485884,0.057652928,1.15932501,492.3832639,0.100830673,0.142030328
9/27/06,0.127205927,7058963521,0.048492286,1.15932501,503.4224949,0.086704761,0.128743123
9/28/06,0.12703216,7069518423,0.052160542,1.247623262,493.4342322,0.086839491,0.128607458
9/29/06,0.128039972,7080025138,0.053670077,1.24151529,506.4640398,0.090245488,0.130544178
10/2/06,0.130515083,6910655656,0.053612957,1.24151529,506.7866725,0.087233878,0.1321795
